"date" "session" "president" "theme" "link"
"1" 1970-09-15 25 NA NA "http://research.un.org/en/docs/ga/quick/regular/25"
"2" 1971-09-15 26 NA NA "http://research.un.org/en/docs/ga/quick/regular/26"
"3" 1972-09-15 27 NA NA "http://research.un.org/en/docs/ga/quick/regular/27"
"4" 1973-09-15 28 NA NA "http://research.un.org/en/docs/ga/quick/regular/28"
"5" 1974-09-15 29 NA NA "http://research.un.org/en/docs/ga/quick/regular/29"
"6" 1975-09-15 30 NA NA "http://research.un.org/en/docs/ga/quick/regular/30"
"7" 1976-09-15 31 NA NA "http://research.un.org/en/docs/ga/quick/regular/31"
"8" 1977-09-15 32 NA NA "http://research.un.org/en/docs/ga/quick/regular/32"
"9" 1978-09-15 33 NA NA "http://research.un.org/en/docs/ga/quick/regular/33"
"10" 1979-09-15 34 NA NA "http://research.un.org/en/docs/ga/quick/regular/34"
"11" 1980-09-15 35 NA NA "http://research.un.org/en/docs/ga/quick/regular/35"
"12" 1981-09-15 36 NA NA "http://research.un.org/en/docs/ga/quick/regular/36"
"13" 1982-09-15 37 NA NA "http://research.un.org/en/docs/ga/quick/regular/37"
"14" 1983-09-15 38 NA NA "http://research.un.org/en/docs/ga/quick/regular/38"
"15" 1984-09-15 39 NA NA "http://research.un.org/en/docs/ga/quick/regular/39"
"16" 1985-09-15 40 NA NA "http://research.un.org/en/docs/ga/quick/regular/40"
"17" 1986-09-15 41 NA NA "http://research.un.org/en/docs/ga/quick/regular/41"
"18" 1987-09-15 42 NA NA "http://research.un.org/en/docs/ga/quick/regular/42"
"19" 1988-09-15 43 NA NA "http://research.un.org/en/docs/ga/quick/regular/43"
"20" 1989-09-15 44 NA NA "http://research.un.org/en/docs/ga/quick/regular/44"
"21" 1990-09-15 45 NA NA "http://research.un.org/en/docs/ga/quick/regular/45"
"22" 1991-09-15 46 NA NA "http://research.un.org/en/docs/ga/quick/regular/46"
"23" 1992-09-15 47 NA NA "http://research.un.org/en/docs/ga/quick/regular/47"
"24" 1993-09-15 48 NA NA "http://research.un.org/en/docs/ga/quick/regular/48"
"25" 1994-09-15 49 NA NA "http://research.un.org/en/docs/ga/quick/regular/49"
"26" 1995-09-15 50 NA NA "http://research.un.org/en/docs/ga/quick/regular/50"
"27" 1996-09-15 51 NA NA "http://research.un.org/en/docs/ga/quick/regular/51"
"28" 1997-09-15 52 NA NA "http://research.un.org/en/docs/ga/quick/regular/52"
"29" 1998-09-15 53 NA NA "http://research.un.org/en/docs/ga/quick/regular/53"
"30" 1999-09-15 54 NA NA "http://research.un.org/en/docs/ga/quick/regular/54"
"31" 2000-09-15 55 NA NA "http://research.un.org/en/docs/ga/quick/regular/55"
"32" 2001-09-15 56 NA NA "http://research.un.org/en/docs/ga/quick/regular/56"
"33" 2002-09-15 57 NA NA "http://research.un.org/en/docs/ga/quick/regular/57"
"34" 2003-09-15 58 NA NA "http://research.un.org/en/docs/ga/quick/regular/58"
"35" 2004-09-15 59 NA NA "http://research.un.org/en/docs/ga/quick/regular/59"
"36" 2005-09-15 60 "Mr.Jan Eliasson (Sweden)" "\"For a stronger and more effective United Nations: the follow-up and implementation of the High-level Plenary Meeting in September 2005\"" "http://research.un.org/en/docs/ga/quick/regular/60"
"37" 2006-09-15 61 "Ms. Sheikha Haya Rashed Al Khalifa (Bahrain)" "\"Implementing a global partnership for development\"" "http://research.un.org/en/docs/ga/quick/regular/61"
"38" 2007-09-15 62 "Mr. Srgjan Kerim (Former Yugoslav Republic of Macedonia)" "\"Responding to climate change\"" "http://research.un.org/en/docs/ga/quick/regular/62"
"39" 2008-09-15 63 "Mr. Miguel d’Escoto Brockmann (Nicaragua)" "\"The impact of the global food crisis on poverty and hunger in the world as well as the need to democratize the United Nations\"" "http://research.un.org/en/docs/ga/quick/regular/63"
"40" 2009-09-15 64 "Dr. Ali Abdussalam Treki (Libya, formerly Libyan Arab Jamahiriya)" "\"Effective responses to global crises: strengthening multilateralism and dialogue among civilizations for international peace, security and development\"" "http://research.un.org/en/docs/ga/quick/regular/64"
"41" 2010-09-15 65 "Mr. Joseph Deiss (Switzerland)" "\"Reaffirming the central role of the United Nations in global governance\"" "http://research.un.org/en/docs/ga/quick/regular/65"
"42" 2011-09-15 66 "Mr. Nassir Abdulaziz Al-Nasser (Qatar)" "\"The role of mediation in the settlement of disputes by peaceful means\"" "http://research.un.org/en/docs/ga/quick/regular/66"
"43" 2012-09-15 67 "Mr. Vuk Jeremiæ (Serbia)" "\"Bringing about adjustment or settlement of international disputes or situations by peaceful means\"" "http://research.un.org/en/docs/ga/quick/regular/67"
"44" 2013-09-15 68 "Mr. John W. Ashe (Antigua and Barbuda)" "\"The way forward: a disability-inclusive development agenda towards 2015 and beyond\"" "http://research.un.org/en/docs/ga/quick/regular/68"
"45" 2014-09-15 69 "Mr. Sam Kutesa (Uganda)" "\"Delivering on and Implementing a Transformative Post-2015 Development Agenda\"" "http://research.un.org/en/docs/ga/quick/regular/69"
"46" 2015-09-15 70 "Mr. Mogens Lykketoft (Denmark)" "\"The United Nations at 70 — A New Commitment to Action\"" "http://research.un.org/en/docs/ga/quick/regular/70"
