"africa" "arab" "arms" "challenges" "change" "charter" "commitment" "conference" "conflict" "cooperation" "council" "countries" "delegation" "determination" "developing" "development" "disarmament" "east" "economic" "ensure" "financial" "forces" "foreign" "global" "human" "including" "independence" "israel" "issues" "middle" "military" "negotiations" "operation" "peoples" "policy" "poverty" "powers" "process" "question" "regional" "relations" "security" "session" "situation" "solution" "south" "special" "stability" "support"
"africa" 1 0.70946141979603 0.865216006418367 -0.766932511866207 -0.473577053321008 0.642412681398049 -0.519691704695917 0.786481336291844 0.0188280215492537 -0.471491886640099 -0.408718264436466 0.892596577138453 0.742270887068099 0.886838453368043 0.864057509557085 -0.471426064784968 0.877910585954909 0.82409499201436 0.865901364376968 -0.295965809038634 -0.169558916749627 0.845210202941527 0.829905609607474 -0.639756610194647 -0.0114654540535758 -0.214951702449838 0.865693463045249 0.590673695150107 -0.0157896299408307 0.783857523660457 0.828649285761505 0.837442164197045 0.803613371384653 0.813970901805407 0.839167946663944 -0.697906663873686 0.712244713070468 -0.0583793988857757 0.878469613272187 -0.192415480892976 0.869833991669982 -0.193143945798627 0.728577349682906 0.881917554896501 0.883202279859098 0.91363932809186 0.639783354936701 -0.225249504779438 0.332499824179578
"arab" 0.70946141979603 1 0.739790005251223 -0.768055821423029 -0.33021180192436 0.605699112305255 -0.70721178707092 0.654040007495348 -0.279125131993947 -0.552573337787767 -0.602940088732487 0.799502209117019 0.743206751222286 0.803112440612214 0.793988281958272 -0.629037226192626 0.719316233554118 0.79878571594367 0.666815231816717 -0.518546223231186 -0.421152504148973 0.750448229920806 0.734740015483854 -0.582493996533595 -0.331721598013003 -0.396546852588456 0.868732007747575 0.813876354338902 -0.365905476923465 0.870342856249591 0.755186521480865 0.758518276812144 0.739286289144085 0.854990189628 0.859878383278128 -0.770497452322509 0.791834478612445 -0.415410543381206 0.788964370451471 -0.534011790793792 0.804058769978322 -0.469173406211214 0.647408176787782 0.745961807563372 0.819197332684924 0.713779894852791 0.555211921194997 -0.495161569185408 -0.0322490069728504
"arms" 0.865216006418367 0.739790005251223 1 -0.716573212561806 -0.423909674253183 0.673067387500908 -0.464054138775006 0.650712753487249 0.0500153739761578 -0.42161293777999 -0.447983094840224 0.880387240699089 0.629851012670334 0.899495428105636 0.814003614098219 -0.511239017045236 0.817129226213086 0.808559854459871 0.795508720259929 -0.298474614109785 -0.18604307199778 0.84021010927438 0.878471783782664 -0.528301941140279 -0.150402100017737 -0.0813303096383456 0.884707649807924 0.650864360233671 -0.0843207823606538 0.761511777500815 0.899686503554998 0.887262781463255 0.693798082368947 0.819493680131189 0.876773260947361 -0.665786949568375 0.674231462480948 -0.16358835417181 0.857623693033572 -0.279152832465938 0.815652922299618 -0.167076113006769 0.64028788731259 0.908213822800964 0.876537930506569 0.897585645453759 0.5500024192747 -0.176811958964693 0.359571809317043
"challenges" -0.766932511866207 -0.768055821423029 -0.716573212561806 1 0.689322461608132 -0.837740375711746 0.851027774635931 -0.766824914981925 0.204162287531568 0.532865372217284 0.540999398425085 -0.777882580868188 -0.887068412893426 -0.834103295636612 -0.735596624089778 0.672588016215506 -0.811847722478311 -0.806731928573166 -0.666269121852861 0.642143850819624 0.476510756718901 -0.81927559236462 -0.84015300496994 0.912763638111705 0.295692808450731 0.642805829178637 -0.807862179606125 -0.625642582401513 0.493165289815871 -0.790967234728048 -0.753872314057362 -0.642249571690205 -0.776868203424351 -0.879357050150733 -0.830576886821253 0.838985156387572 -0.887673452875822 0.252976692123069 -0.900002517880442 0.437165220789073 -0.87589471208123 0.489069020620274 -0.677760702699378 -0.775151085406828 -0.798090231901167 -0.767203628943166 -0.599940723743783 0.573836080463392 0.173036930841612
"change" -0.473577053321008 -0.33021180192436 -0.423909674253183 0.689322461608132 1 -0.560697193536153 0.457457655522341 -0.403116528908358 -0.125228749217591 0.152787416046442 0.00485568027202295 -0.417463654860253 -0.565291901069071 -0.495120997159443 -0.399588355525432 0.339920693361777 -0.482449272507756 -0.530081476461258 -0.390171489892736 0.27899683939913 0.357671239769494 -0.47385078362711 -0.507525216888846 0.769415342456989 -0.00237243900111969 0.361836348771703 -0.378918690705284 -0.298923339396914 0.209445606991917 -0.392392310910028 -0.424047984971259 -0.308775904726201 -0.383880734376547 -0.466196733055422 -0.421074821873219 0.318968807196857 -0.43290933956514 -0.138258616244273 -0.551111550922749 0.057721643117823 -0.495294713555663 0.0170892345322222 -0.400452969430101 -0.463551536042229 -0.37185072208514 -0.43445169665243 -0.406988936771114 0.145843491695912 0.117422847699883
"charter" 0.642412681398049 0.605699112305255 0.673067387500908 -0.837740375711746 -0.560697193536153 1 -0.701832082131064 0.656041769321379 -0.0888343942499524 -0.394983737758916 -0.406983238946754 0.621367555348036 0.743676870302394 0.716464454802623 0.509643956215504 -0.560840957056126 0.658586538953508 0.670224577750227 0.579960990650964 -0.539393490326375 -0.337168989404788 0.719150822676553 0.772399745392276 -0.786387489302553 -0.238478408608592 -0.592651216238009 0.67521468958474 0.575418208673469 -0.41554483373429 0.63731498865143 0.708192790936484 0.537287849997529 0.620895023640092 0.79041502359259 0.726231969398177 -0.792061270242936 0.797122728564624 -0.242800185653272 0.798175572301508 -0.360104109208824 0.759500512543774 -0.264568041916221 0.566208035584315 0.708144825242932 0.664413269729945 0.696981036054862 0.448237348004291 -0.438999841569462 -0.142255397208259
"commitment" -0.519691704695917 -0.70721178707092 -0.464054138775006 0.851027774635931 0.457457655522341 -0.701832082131064 1 -0.647063750811621 0.543811589313768 0.561953935868724 0.671576002893109 -0.573008716232254 -0.825649786568401 -0.609797323952314 -0.572877972960412 0.746627045395099 -0.595202269566856 -0.604101990896439 -0.388464871415113 0.776815849377171 0.575546475140204 -0.58973069384673 -0.639550183639327 0.816706441089546 0.484387402411886 0.812889865634982 -0.684838203939868 -0.5910504210537 0.721648556805877 -0.682435473233363 -0.511258681144148 -0.369101827482461 -0.633501640056285 -0.800764006253392 -0.717431488729454 0.777679828716003 -0.873817254959365 0.540547135996056 -0.708741308601986 0.694916771864005 -0.697042946687357 0.694334467313113 -0.528268161343066 -0.503170082273255 -0.586234388328526 -0.477701219736088 -0.454401769868849 0.835132556229539 0.472259462507256
"conference" 0.786481336291844 0.654040007495348 0.650712753487249 -0.766824914981925 -0.403116528908358 0.656041769321379 -0.647063750811621 1 -0.076320169907338 -0.345132153944235 -0.441728572898869 0.804693199903142 0.805169712971966 0.769957758500736 0.792239113343071 -0.440254054203716 0.730860764827299 0.714651295644426 0.822671527816298 -0.30362442173518 -0.265254620677905 0.768897738082945 0.761969446037963 -0.628858586059881 -0.0551419679893878 -0.420998615621245 0.776456115403574 0.520133480529503 -0.146853388099494 0.744416337398601 0.714728271616058 0.639537635918329 0.720283268389923 0.760484649310913 0.740582672373289 -0.709885792075371 0.716025334755616 -0.0735694297501948 0.79464970038435 -0.230431042778675 0.866878005289608 -0.314465489364141 0.703270911141995 0.718429380214708 0.783415389159218 0.7556115029846 0.562399421581357 -0.359255453902963 0.104328887151324
"conflict" 0.0188280215492537 -0.279125131993947 0.0500153739761578 0.204162287531568 -0.125228749217591 -0.0888343942499524 0.543811589313768 -0.076320169907338 1 0.44077366853533 0.620372905899548 -0.0197593527526586 -0.310781453506596 0.0111034095483436 -0.128810579240971 0.536669932020244 -0.0841132876223459 0.0483432879279694 0.205209961256811 0.674874310007842 0.428374117122376 0.0884533057822225 0.0194883204367719 0.248929202490169 0.577040316643825 0.549900173246262 -0.207327369665749 -0.263909847667494 0.622325847448198 -0.208814757267667 0.144398631381972 0.118202563690385 -0.205546969033181 -0.309339378143634 -0.189940222651287 0.292119843341203 -0.397367005551452 0.699674675132891 -0.0603253382452247 0.820017417946115 -0.0621406454193135 0.740240445725035 -0.0340060229649688 0.139799194116326 0.0265863564006375 0.170571045977852 -0.0959674100098653 0.808462535495477 0.637177674967652
"cooperation" -0.471491886640099 -0.552573337787767 -0.42161293777999 0.532865372217284 0.152787416046442 -0.394983737758916 0.561953935868724 -0.345132153944235 0.44077366853533 1 0.686751139669746 -0.461390564333192 -0.437286842581049 -0.489497853411684 -0.451764320059024 0.593901968168685 -0.562989460325367 -0.47527766581668 -0.235940851437109 0.61144849873477 0.363354970910669 -0.493244915242457 -0.535579641745257 0.511965430643959 0.566036827354328 0.418026000222494 -0.54899401512142 -0.384313431299103 0.534337314613593 -0.504644605241669 -0.316834116986248 -0.327528113307772 -0.835585345080171 -0.563565899289213 -0.518430014730343 0.605821956623473 -0.687410846135088 0.566762951286028 -0.507801889929138 0.585621769920336 -0.50018026856742 0.551958213466792 -0.250845732955402 -0.410418511004949 -0.581299091152351 -0.49819609229028 -0.248034241192461 0.670670855788758 0.0736068566444319
