"date" "word" "n" "year_total" "word_total"
1970-09-15 "achieve" 118 110001 10213
1970-09-15 "action" 168 110001 16503
1970-09-15 "africa" 321 110001 29980
1970-09-15 "african" 147 110001 18219
1970-09-15 "agreement" 154 110001 12320
1970-09-15 "arab" 297 110001 11247
1970-09-15 "arms" 167 110001 11210
1970-09-15 "assembly" 541 110001 39932
1970-09-15 "assistance" 109 110001 11561
1970-09-15 "based" 111 110001 10704
1970-09-15 "challenges" 6 110001 10170
1970-09-15 "change" 57 110001 11309
1970-09-15 "charter" 549 110001 16097
1970-09-15 "commitment" 31 110001 10328
1970-09-15 "common" 111 110001 10870
1970-09-15 "community" 201 110001 37936
1970-09-15 "conference" 234 110001 21701
1970-09-15 "conflict" 171 110001 16727
1970-09-15 "conflicts" 95 110001 11456
1970-09-15 "continue" 171 110001 19221
1970-09-15 "cooperation" 219 110001 17552
1970-09-15 "council" 261 110001 29218
1970-09-15 "countries" 908 110001 85811
1970-09-15 "country" 332 110001 39541
1970-09-15 "crisis" 55 110001 12500
1970-09-15 "delegation" 260 110001 12971
1970-09-15 "democratic" 63 110001 14000
1970-09-15 "determination" 158 110001 10119
1970-09-15 "developed" 155 110001 12428
1970-09-15 "developing" 299 110001 26012
1970-09-15 "development" 649 110001 63063
1970-09-15 "disarmament" 197 110001 13285
1970-09-15 "east" 240 110001 18712
1970-09-15 "economic" 450 110001 55155
1970-09-15 "effective" 160 110001 11485
1970-09-15 "efforts" 244 110001 35195
1970-09-15 "ensure" 112 110001 11643
1970-09-15 "financial" 50 110001 10368
1970-09-15 "force" 162 110001 10217
1970-09-15 "forces" 163 110001 10811
1970-09-15 "foreign" 181 110001 13288
1970-09-15 "free" 104 110001 10472
1970-09-15 "freedom" 138 110001 10391
1970-09-15 "future" 193 110001 15552
1970-09-15 "global" 37 110001 21899
1970-09-15 "government" 536 110001 36814
1970-09-15 "hope" 269 110001 19418
1970-09-15 "human" 321 110001 36657
1970-09-15 "implementation" 61 110001 10777
1970-09-15 "including" 79 110001 10842
1970-09-15 "independence" 191 110001 14069
1970-09-15 "international" 1251 110001 117236
